Compound,Negative,Neutral,Positive,Tweet Count,User
0.0,0.0,1.0,0.0,42,@BBCWorld
-0.4767,0.237,0.763,0.0,43,@BBCWorld
0.0,0.0,1.0,0.0,44,@BBCWorld
0.0,0.0,1.0,0.0,45,@BBCWorld
-0.4939,0.286,0.714,0.0,46,@BBCWorld
-0.3182,0.113,0.887,0.0,47,@BBCWorld
0.0,0.0,1.0,0.0,48,@BBCWorld
0.0,0.0,1.0,0.0,49,@BBCWorld
-0.1027,0.123,0.877,0.0,50,@BBCWorld
-0.4995,0.222,0.67,0.108,51,@BBCWorld
0.0,0.0,1.0,0.0,52,@BBCWorld
0.0,0.0,1.0,0.0,53,@BBCWorld
0.0,0.0,1.0,0.0,54,@BBCWorld
0.0,0.0,1.0,0.0,55,@BBCWorld
-0.3182,0.187,0.813,0.0,56,@BBCWorld
0.0,0.0,1.0,0.0,57,@BBCWorld
0.0,0.0,1.0,0.0,58,@BBCWorld
-0.8591,0.543,0.457,0.0,59,@BBCWorld
-0.4019,0.252,0.748,0.0,60,@BBCWorld
0.0,0.0,1.0,0.0,61,@BBCWorld
-0.4215,0.189,0.811,0.0,62,@BBCWorld
-0.6908,0.251,0.749,0.0,63,@BBCWorld
-0.886,0.486,0.514,0.0,64,@BBCWorld
-0.4767,0.22,0.78,0.0,65,@BBCWorld
-0.4215,0.189,0.811,0.0,66,@BBCWorld
0.0,0.0,1.0,0.0,67,@BBCWorld
0.0,0.0,1.0,0.0,68,@BBCWorld
0.0,0.0,1.0,0.0,69,@BBCWorld
0.0,0.0,1.0,0.0,70,@BBCWorld
0.2732,0.191,0.522,0.287,71,@BBCWorld
0.0,0.0,1.0,0.0,72,@BBCWorld
0.6166,0.0,0.705,0.295,73,@BBCWorld
0.0,0.0,1.0,0.0,74,@BBCWorld
0.0,0.0,1.0,0.0,75,@BBCWorld
0.6166,0.0,0.705,0.295,76,@BBCWorld
-0.4215,0.189,0.811,0.0,77,@BBCWorld
-0.4215,0.189,0.811,0.0,78,@BBCWorld
0.0,0.0,1.0,0.0,79,@BBCWorld
0.0,0.0,1.0,0.0,80,@BBCWorld
-0.3182,0.113,0.887,0.0,81,@BBCWorld
0.0,0.0,1.0,0.0,82,@BBCWorld
0.0,0.0,1.0,0.0,83,@BBCWorld
-0.6908,0.251,0.749,0.0,84,@BBCWorld
0.0,0.0,1.0,0.0,85,@BBCWorld
-0.4215,0.189,0.811,0.0,86,@BBCWorld
0.5106,0.0,0.858,0.142,87,@BBCWorld
-0.4215,0.189,0.811,0.0,88,@BBCWorld
0.6705,0.0,0.703,0.297,89,@BBCWorld
0.0,0.0,1.0,0.0,90,@BBCWorld
0.0,0.0,1.0,0.0,91,@BBCWorld
0.0,0.0,1.0,0.0,92,@BBCWorld
-0.6249,0.291,0.709,0.0,93,@BBCWorld
0.0,0.0,1.0,0.0,94,@BBCWorld
0.0,0.0,1.0,0.0,95,@BBCWorld
-0.3125,0.161,0.839,0.0,96,@BBCWorld
0.0,0.0,1.0,0.0,97,@BBCWorld
-0.6908,0.251,0.749,0.0,98,@BBCWorld
0.0,0.0,1.0,0.0,99,@BBCWorld
-0.4215,0.189,0.811,0.0,100,@BBCWorld
0.0,0.0,1.0,0.0,101,@BBCWorld
0.0,0.0,1.0,0.0,102,@BBCWorld
0.0,0.0,1.0,0.0,103,@BBCWorld
-0.34,0.138,0.862,0.0,104,@BBCWorld
-0.34,0.138,0.862,0.0,105,@BBCWorld
0.0,0.0,1.0,0.0,106,@BBCWorld
-0.4215,0.189,0.811,0.0,107,@BBCWorld
-0.34,0.138,0.862,0.0,108,@BBCWorld
-0.4995,0.222,0.67,0.108,109,@BBCWorld
-0.4215,0.189,0.811,0.0,110,@BBCWorld
0.0,0.0,1.0,0.0,111,@BBCWorld
-0.85,0.303,0.697,0.0,112,@BBCWorld
0.0,0.0,1.0,0.0,113,@BBCWorld
-0.4215,0.189,0.811,0.0,114,@BBCWorld
-0.4995,0.222,0.67,0.108,115,@BBCWorld
0.6705,0.205,0.418,0.376,116,@BBCWorld
-0.4215,0.189,0.811,0.0,117,@BBCWorld
-0.4215,0.189,0.811,0.0,118,@BBCWorld
0.0,0.0,1.0,0.0,119,@BBCWorld
0.0,0.0,1.0,0.0,120,@BBCWorld
-0.4215,0.189,0.811,0.0,121,@BBCWorld
0.0,0.0,1.0,0.0,122,@BBCWorld
-0.8553,0.33,0.67,0.0,123,@BBCWorld
-0.9136,0.394,0.606,0.0,124,@BBCWorld
-0.4215,0.189,0.811,0.0,125,@BBCWorld
0.0,0.0,1.0,0.0,126,@BBCWorld
0.743,0.0,0.657,0.343,127,@BBCWorld
0.6166,0.0,0.705,0.295,128,@BBCWorld
-0.4215,0.189,0.811,0.0,129,@BBCWorld
0.3818,0.0,0.755,0.245,130,@BBCWorld
0.0,0.0,1.0,0.0,131,@BBCWorld
0.0,0.0,1.0,0.0,132,@BBCWorld
